,Title,Occupation,Company,Company Location,Specs,Link
10,Data Center Design Leader,"['Full Time', 'On-site']",Mobi Egypt ,"Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · Engineering - Telecom/Technology · Design · Data center · Information Technology (IT) · Computer Science · Engineering · CDCDP certification · DCCA certification · Uptime Institute Certified · Data Center design,https://wuzzuf.net/jobs/p/Z39qPIld9lfd-Data-Center-Design-Leader-Mobi-Egypt-Cairo-Egypt
11,"Data Analyst -Internship ""Alexandria""","['Internship', 'On-site']",Egyptian Abrasives Co. ,"Alexandria, Egypt ",Student · Analyst/Research · Engineering - Telecom/Technology · Analysis · Data Analysis · Information Technology (IT) · Computer Science · Training · Communication,https://wuzzuf.net/internship/eJ5MCTLO1OfU-Data-Analyst--Internship-Alexandria-Egyptian-Abrasives-Co-Alexandria-Egypt
12,Automation and Data Integration Manager,"['Full Time', 'On-site']",BariQ ,"6th of October, Giza, Egypt ",Manager · 5 - 10 Yrs of Exp · Engineering - Telecom/Technology · Computer Science · Data Management · Data Integration · Integration · SQL · Data Modeling · Oracle · BI Tools · Tableau,https://wuzzuf.net/jobs/p/Zp4EPITtZocr-Automation-and-Data-Integration-Manager-BariQ-Giza-Egypt
13,Data Engineer,"['Full Time', 'Hybrid']",Coformatique ,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Spark · kafka · Hive · Computer Engineering · Computer Science · Data Modeling · Information Technology (IT) · Programming,https://wuzzuf.net/jobs/p/qNomjSPCqDVm-Data-Engineer-Coformatique-Cairo-Egypt
14,Data Management Lead,"['Full Time', 'Remote']",REI Call Center ,"Alexandria, Egypt ",Manager · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Management · Real Estate · Information Technology (IT) · Data · Automation · Visualization · Database SQL Server · Management,https://wuzzuf.net/jobs/p/8l0tQm7tFrTf-Data-Management-Lead-REI-Call-Center-Alexandria-Egypt
15,Secondary Market Researcher,"['Full Time', 'On-site']",Ptcell ,"Maadi, Cairo, Egypt ","Experienced · 2 - 3 Yrs of Exp · Analyst/Research · Data Analysis · Market Research · Pharmaceutical · Research · Analysis · science,",https://wuzzuf.net/jobs/p/9eIuzD1TnBmz-Secondary-Market-Researcher-Ptcell-Cairo-Egypt
16,Technical Project Manager,"['Full Time', 'Hybrid']",Sprints.ai ,"Maadi, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Product Management · Software Engineering · AI · Data Science · Information Technology (IT) · Project Management · Computer Science,https://wuzzuf.net/jobs/p/QEqmYHmGdNqd-Technical-Project-Manager-Sprints-ai-Cairo-Egypt
17,Junior data engineer,"['Full Time', 'On-site']",Al Soug-Cashi ,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · BI · Data · Engineering · Python · SQL · Database · Software Development,https://wuzzuf.net/jobs/p/6K91q2qi3Ppi-Junior-data-engineer-Al-Soug-Cashi-Giza-Egypt
18,Big Data Engineer,"['Full Time', 'On-site']",Integrated Technology Group ,"Heliopolis, Cairo, Egypt ",Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Hadoop · Big Data · Kafka · Data · Engineering · Hive,https://wuzzuf.net/jobs/p/ORYxGCB4zJCu-Big-Data-Engineer-Integrated-Technology-Group-Cairo-Egypt
19,Python Artisan Developer,"['Full Time', 'Remote']",coto ,"Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Django · API · AI · Data Processing · Computer Science · Docker · Engineering · Information Technology (IT) · MongoDB,https://wuzzuf.net/jobs/p/EjPByHhxrg1y-Python-Artisan-Developer-coto-Cairo-Egypt
20,SAP SD Consultant,"['Full Time', 'On-site']",Arma-HSA ,"New Cairo, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · computer · Computer Science · Data Migration · Implementation · Information technology · Information Technology (IT) · Management · SAP SD · SAP,https://wuzzuf.net/jobs/p/pfrKrjkF1gs2-SAP-SD-Consultant-Arma-HSA-Cairo-Egypt
21,Power BI Developer,"['Full Time', 'On-site']",eVision ,"New Cairo, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · BI · Computer Science · Database · Information Technology (IT) · Power BI · Data Warehousing · Analysis,https://wuzzuf.net/jobs/p/aPG8FA6PpKac-Power-BI-Developer-eVision-Cairo-Egypt
22,Business Analyst,"['Full Time', 'On-site']",GCSSD ,"Heliopolis, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · System Analysis · Writing System · ERP · Data Warehouse · SDLC · Information Technology (IT) · Business Analysis,https://wuzzuf.net/jobs/p/0gRG4bWLt5l1-Business-Analyst-GCSSD-Cairo-Egypt
23,Senior ERP Business Analyst,"['Full Time', 'Hybrid']",BI-Technologies ,"New Cairo, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Business Analysis · business · Business Development · Computer Science · Information Technology (IT) · Data · Management,https://wuzzuf.net/jobs/p/U9Bzzc3QJCwD-Senior-ERP-Business-Analyst-BI-Technologies-Cairo-Egypt
24,Mobile Apps Growth Hacking Manager,"['Full Time', 'Remote']",Madar Soft ,"Fleming, Alexandria, Egypt ",Manager · 8 - 8 Yrs of Exp · Business Development · Marketing/PR/Advertising · Analyst/Research · Digital Marketing · mobile apps · SEO · ASO · Growth Hacking · UAARR framework · millions of DAU,https://wuzzuf.net/jobs/p/RswLFEp6h2jE-Mobile-Apps-Growth-Hacking-Manager-Madar-Soft-Alexandria-Egypt
25,Senior iOS Developer,"['Full Time', 'Hybrid']",Youxel ,"Maadi, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Engineering · iOS · Mobile Development · RESTful · Swift · Objective-C · Cocoa Touch,https://wuzzuf.net/jobs/p/naOayWTa3op9-Senior-iOS-Developer-Youxel-Cairo-Egypt
26,Senior iOS Developer,"['Full Time', 'Hybrid']",Fawry for Banking Technology and Electronic Payments S.A.E ,"6th of October, Giza, Egypt ",Experienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · iOS · APIs · RESTful · Core Animation · Core Data,https://wuzzuf.net/jobs/p/Bwf1waadhae1-Senior-iOS-Developer-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt
27,IT Help Desk Specialist ERP & ECM Systems,"['Full Time', 'On-site']", Ebtikar IT ,"Maadi, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · Customer Service/Support · Installation/Maintenance/Repair · IT/Software Development · Technical Support · Technical Analysis · Information Technology (IT) · Computer Science · SQL · Microsoft SQL Server · MySQL,https://wuzzuf.net/jobs/p/PYQh8f8QVPox-IT-Help-Desk-Specialist-ERP-ECM-Systems-Ebtikar-IT-Cairo-Egypt
28,Data Analyst,"['Full Time', 'On-site']",Selah ElTelmeez For Publishing & printing ,"Obour City, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · females_only · Analyst/Research · Analysis · analytical · business · Computer Science · Data Analyst · Reporting · Statistics · Analyst · Information Technology (IT),https://wuzzuf.net/jobs/p/CwBcPiNouivj-Data-Analyst-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt
29,Data Analyst,"['Full Time', 'On-site']",Kasrawy Group ,"Abu Rawash, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Communication · Communication skills · Analysis · Computer Science · Economics · Data Analysis · English,https://wuzzuf.net/jobs/p/d08tp08z8vjc-Data-Analyst-Kasrawy-Group-Giza-Egypt
30,Senior 3D Animator,"['Full Time', 'On-site']",Selah ElTelmeez For Publishing & printing ,"Obour City, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · Creative/Design/Art · Animation · Design · Motion Graphic Design · Applied Arts · Fine Arts · Adobe Premiere · Adobe Photoshop · Adobe Illustrator · Adobe Indesign,https://wuzzuf.net/jobs/p/odnzGLfvYIcz-Senior-3D-Animator-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt
31,Administrative Assistant,"['Full Time', 'On-site']",AGCO ,"New Cairo, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · Administration · Customer Service/Support · Marketing/PR/Advertising · Administration · administrative · Admin · Communication · Customer Service · Customer Support · Customer Care,https://wuzzuf.net/jobs/p/zmiWdck4bThP-Administrative-Assistant-AGCO-Cairo-Egypt
32,Data Annotation Team Lead,"['Full Time', 'Hybrid']",Eg Insurtech ,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · data labeling · English · Skills · Software Engineering · #data · Artificial Intelligence,https://wuzzuf.net/jobs/p/A5qTdwlu96Gb-Data-Annotation-Team-Lead-Eg-Insurtech-Cairo-Egypt
33,Senior Data Analyst,"['Full Time', 'On-site']",Al Ahly capital holding - Al Ahly Tamkeen ,"Zamalek, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,https://wuzzuf.net/jobs/p/l2HsysPBSUnM-Senior-Data-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt
34,Customer Service Representative - B2B Account (Etisalat UAE),"['Full Time', 'On-site']",Etisalat Egypt ,"Maadi, Cairo, Egypt ",Entry Level · Administration · Customer Service/Support · Operations/Management · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English,https://wuzzuf.net/jobs/p/RZ6yhQedHgZU-Customer-Service-Representative---B2B-Account-Etisalat-UAE-Etisalat-Egypt-Cairo-Egypt
35,Data Analyst,"['Full Time', 'On-site']",Lecico Egypt ,"Alexandria, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analyst · Data Analysis · Information Technology (IT) · Science · English · Data Analyst · Computer Science · Analysis,https://wuzzuf.net/jobs/p/sbfNVsAYhQVm-Data-Analyst-Lecico-Egypt-Alexandria-Egypt
36,Senior Power PI Developer,"['Part Time', 'Freelance / Project', 'Remote']",Technosignage ,"Heliopolis, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · BI · Business Intelligence · Data Modeling · ETL · Power BI · Software Engineering · SQL · Tableau · Computer Science,https://wuzzuf.net/jobs/p/rVaEksr1Ss1R-Senior-Power-PI-Developer-Technosignage-Cairo-Egypt
37,"Science Teacher ( Chemistry, Biology and Physics)(American Curriculum)","['Part Time', 'On-site']",Creatives International Schools ( CIS ) ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 3 - 5 Yrs of Exp · R&D/Science · Education/Teaching · Biology · Education · Science · Teacher · Teaching,https://wuzzuf.net/jobs/p/Vo5jBimRHSYR-Science-Teacher-Chemistry-Biology-and-PhysicsAmerican-Curriculum-Creatives-International-Schools-CIS-Sharqia-Egypt
38,Operations,"['Full Time', 'On-site']",3D Diagnostix ,"Maadi, Cairo, Egypt ",Entry Level · 0 - 2 Yrs of Exp · males_only · R&D/Science · Logistics/Supply Chain · Operations/Management · Operations Management · Data Science · AI · Artificial Intelligence (AI) · Computer Science · 3D Design · Logistics,https://wuzzuf.net/jobs/p/FEQIOQZax6Sg-Operations-3D-Diagnostix-Cairo-Egypt
39,Data Collector,"['Full Time', 'Hybrid']",Antolino Impex Trade ,"New Cairo, Cairo, Egypt ",Experienced · 1 - 2 Yrs of Exp · Other · Data Collection · data collector · Raw Materials · Outdoor Sales · Sales Field,https://wuzzuf.net/jobs/p/Z40rIR9Q2TXQ-Data-Collector-Antolino-Impex-Trade-Cairo-Egypt
40,Senior Data Analyst,"['Full Time', 'On-site']",Goldentex ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · Computer Science · Data Analysis · Engineering · Information Technology (IT) · Power BI,https://wuzzuf.net/jobs/p/pDuDzSwwSi9g-Senior-Data-Analyst-Goldentex-Sharqia-Egypt
41,Data Analyst,"['Full Time', 'On-site']",Carina Wear ,"New Cairo, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Microsoft Power BI · business · Analysis · Computer Science · Big Data Analytics · Power BI,https://wuzzuf.net/jobs/p/BzOoVQ8CU4Zp-Data-Analyst-Carina-Wear-Cairo-Egypt
42,Data Analyst,"['Full Time', 'Remote']",Options ,"Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Analyst/Research · Analysis · Analyst · Computer Science · Python · SQL · AWS · Information Technology (IT),https://wuzzuf.net/jobs/p/L0E2Pq7S2bqQ-Data-Analyst-Options-Cairo-Egypt
43,Senior Power BI Developer,"['Full Time', 'Hybrid']",BI-Technologies ,"New Cairo, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Power BI · SSRS · BI · SQL · Microsoft Power BI · Engineering,https://wuzzuf.net/jobs/p/ZjhaviDUOGwC-Senior-Power-BI-Developer-BI-Technologies-Cairo-Egypt
44,BI Data Analyst,"['Full Time', 'Hybrid']",Confidential ,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · BI Analyst · Data Analyst · excel · Power BI · Python · Data Analysis · Information Technology (IT),https://wuzzuf.net/jobs/p/y4g4QcDGxdQh-BI-Data-Analyst-Cairo-Egypt
45,Software Engineer,"['Freelance / Project', 'Remote']",Craft Innovations ,"Giza, Egypt ",Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Front-End Development · Back-End Development · Software Development · Software Engineering · Computer Science · CSS · Engineering · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/50jjrlF12sMI-Software-Engineer-Craft-Innovations-Giza-Egypt
46,Data Analyst,"['Full Time', 'On-site']",EGEC ,"Haram, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Engineering - Other · analytical · Analysis · Computer Science · Reporting · Data Analysis · Communication skills,https://wuzzuf.net/jobs/p/JzwfRgWZxmHL-Data-Analyst-EGEC-Giza-Egypt
47,Oracle Database Administrator,"['Full Time', 'On-site']",Suez Canal container Terminal ,"Port Fuad, Port Said, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Database · Computer Science · database administration · DBA · Information Technology (IT),https://wuzzuf.net/jobs/p/jajnoFNZnNN1-Oracle-Database-Administrator-Suez-Canal-container-Terminal-Port-Said-Egypt
48,Senior Oracle HCM Techno-Functional Consultant,"['Full Time', 'Hybrid']",Confidential ,"New Cairo, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · EBS · Fusion · ERP · HCM · Oracle · Oracle HCM · Administration · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/LGrbOuDJi5zH-Senior-Oracle-HCM-Techno-Functional-Consultant-Cairo-Egypt
49,IT Network & Security Manager,"['Full Time', 'On-site']",Confidential ,"Giza, Egypt ",Manager · 7 - 10 Yrs of Exp · IT/Software Development · Information Technology (IT) · Computer Science · Network Administration · firewalls,https://wuzzuf.net/jobs/p/aIGr4HMtSvPn-IT-Network-Security-Manager-Giza-Egypt
50,Senior ERP System Expert,"['Full Time', 'On-site']",Transmar International  ,"New Cairo, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · ERP · ERP System · Implementation · Information Systems · Information Technology (IT) · Oracle · SQL · Networks · Computer Science,https://wuzzuf.net/jobs/p/Viy9vy0rA4zE-Senior-ERP-System-Expert-Transmar-International-Cairo-Egypt
51,HRIS Administrator,"['Full Time', 'On-site']",TRAVCO GROUP ,"Sheikh Zayed, Giza, Egypt ",Entry Level · 2 - 4 Yrs of Exp · Administration · Human Resources · IT/Software Development · HRIS · Computer Science · Reporting · Information Technology (IT) · Software · HR · Administration,https://wuzzuf.net/jobs/p/wejHIVLEtxJJ-HRIS-Administrator-TRAVCO-GROUP-Giza-Egypt
52,IOT Process optimization consultant / 6 Months contract,"['Part Time', 'Freelance / Project', 'Hybrid']",Efada Technology ,"6th of October, Giza, Egypt ",Experienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Hospitality/Hotels/Food Services · IT/Software Development · Data Science · phd · operations reasearch · Customer Operations Performance Centre · Research · MBA · Software Engineering,https://wuzzuf.net/jobs/p/JlQP331EgCgp-IOT-Process-optimization-consultant-6-Months-contract-Efada-Technology-Giza-Egypt
53,Data Quality Analyst,"['Full Time', 'On-site']",The Address Investments for Real Estate Consultancy ,"New Cairo, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Analysis · Analyst · Computer Science · Data · Data Analysis · data quality · Information Technology (IT),https://wuzzuf.net/jobs/p/Xf9v8OKDhUnC-Data-Quality-Analyst-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt
54,Mid Level Backend Developer{.Net Core}.,"['Full Time', 'On-site']",RTR Software Solutions  ,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · ASP.Net · C# · Azure · Agile · Communication skills · Computer Science · Information Technology (IT) · Git · Microsoft,https://wuzzuf.net/jobs/p/EohgYdca2XZs-Mid-Level-Backend-DeveloperNet-Core-RTR-Software-Solutions-Cairo-Egypt
55,Sharepoint Specialist,"['Full Time', 'On-site']",Jazeera Paints ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 4 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Sharepoint · SQL · Microsoft Office 365 · Power BI · Event Stream Processing (ESP),https://wuzzuf.net/jobs/p/zc8k6hOSbF6r-Sharepoint-Specialist-Jazeera-Paints-Sharqia-Egypt
56,Business analyst / Product manager (Gaming),"['Full Time', 'Remote']",Digital pen ,"Cairo, Egypt ",Manager · 4 - 7 Yrs of Exp · IT/Software Development · Project/Program Management · Business Analysis · Product Management · mobile games · Computer Science · product manager · Information Technology (IT) · ba,https://wuzzuf.net/jobs/p/9cG2NtU76bpf-Business-analyst-Product-manager-Gaming-Digital-pen-Cairo-Egypt
57,IT Manager,"['Full Time', 'On-site']",Confidential ,"Heliopolis, Cairo, Egypt ",Manager · 10 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IT · Information Technology (IT) · Networks · terraform · Ansible · Linux · AWS · Azure DevOps Server,https://wuzzuf.net/jobs/p/ibRQOYcP70fn-IT-Manager-Cairo-Egypt
58,IPC Officer,"['Full Time', 'On-site']",Confidential ,"Badr City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Quality · Pharmaceutical · IPC · Pharmaceutical · Analysis · Compliance · Data Analysis · Science,https://wuzzuf.net/jobs/p/YRSyzv83jLbU-IPC-Officer-Cairo-Egypt
59,iOS Developer,"['Full Time', 'Remote']",Madar Soft ,"Fleming, Alexandria, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · RESTful · RESTful APIs · Software Development · Computer Science · Core Data · Git · iOS · Objective-C,https://wuzzuf.net/jobs/p/0okuDMp48o5e-iOS-Developer-Madar-Soft-Alexandria-Egypt
60,Senior SQL Database Developer,"['Full Time', 'On-site']",Al Ateeq Software ,"New Heliopolis, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Database Development · SQL Server · Database · Software Development · Oracle · Microsoft SQL Server,https://wuzzuf.net/jobs/p/CQWOE9E8KDSY-Senior-SQL-Database-Developer-Al-Ateeq-Software-Cairo-Egypt
61,Full Stack Software Engineer - Internet of Things (IoT),"['Full Time', 'On-site']",CONSULTIX  ,"New Cairo, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Full Stack · Information Technology (IT) · JavaScript · Software · Software Development · SQL · Python · Development,https://wuzzuf.net/jobs/p/fxEaWWqarMCG-Full-Stack-Software-Engineer---Internet-of-Things-IoT-CONSULTIX-Cairo-Egypt
62,Senior Apex Oracle Developer,"['Full Time', 'On-site']",Dorra Group ,"Sheikh Zayed, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · CSS · Database · Information Technology (IT) · Oracle Database · Software Engineering · SQL · Software · Oracle,https://wuzzuf.net/jobs/p/MPZEsqWnQur5-Senior-Apex-Oracle-Developer-Dorra-Group-Giza-Egypt
63,Oracle Application Techno Functional Consultant,"['Part Time', 'Freelance / Project', 'Shift Based', 'On-site']",Confidential ,"Cairo, Egypt ",Experienced · 7 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Oracle Fusion · Applications · XML · SOAP · ERP · Fusion · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/u7JXeHe7oGoZ-Oracle-Application-Techno-Functional-Consultant-Cairo-Egypt
64,NetSuite Developer,"['Part Time', 'Hybrid']",WUZZUF ,"Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · NetSuite · SuiteBuilder · Suitescript · ERP · Netsuite Developer,https://wuzzuf.net/jobs/p/8huEMAL8lFtO-NetSuite-Developer-WUZZUF-Cairo-Egypt
65,Quality Control Specialist (Herbs and Spices),"['Full Time', 'On-site']",Glamour Export  ,"Heliopolis, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Quality · Quality Control · Quality Assurance · food safety · Food · Science,https://wuzzuf.net/jobs/p/Ie8ic0UJoRgw-Quality-Control-Specialist-Herbs-and-Spices-Glamour-Export-Cairo-Egypt
66,IT Specialist,"['Full Time', 'On-site']",Mobica ,"Mohandessin, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · CCNA · IT · Computer Science · Information technology · Installation · computer,https://wuzzuf.net/jobs/p/ESQ7MEYk75w9-IT-Specialist-Mobica-Giza-Egypt
67,Front End Developer (React.js & Vue.js),"['Full Time', 'Hybrid']",Enegix ,"Alexandria, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Frontend · Information Technology (IT) · React · Vue.js · front-end · JavaScript,https://wuzzuf.net/jobs/p/9PXjI14ycMFb-Front-End-Developer-Reactjs-Vuejs-Enegix-Alexandria-Egypt
68,Senior Odoo Functional Consultant,"['Full Time', 'On-site']",willys kitchen-Egypt ,"Cairo, Egypt ",Experienced · 5 - 5 Yrs of Exp · males_only · IT/Software Development · Analysis · Computer Science · ERP Implementation · Information Technology (IT) · Odoo · Odoo ERP,https://wuzzuf.net/jobs/p/BktRpbyTvbf4-Senior-Odoo-Functional-Consultant-willys-kitchen-Egypt-Cairo-Egypt
