,Title,Occupation,Company,Company Location,Specs,Link
18,Technical Lead-IT,"['Full Time', 'On-site']",Block Gemini ,"Cairo, Egypt ","Experienced · 8 - 16 Yrs of Exp · IT/Software Development · Node.js · Information Technology (IT) · Technical lead · mernstack,",https://wuzzuf.net/jobs/p/6U2ZxsIufSOJ-Technical-Lead-IT-Block-Gemini-Cairo-Egypt
19,Microsoft System Administrator,"['Full Time', 'On-site']",Techno Management ,"Nasr City, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Microsoft SQL Server · Installation · Configuration · Troubleshooting,https://wuzzuf.net/jobs/p/HToxrPb8SgYQ-Microsoft-System-Administrator-Techno-Management-Cairo-Egypt
20,Production II Internship - Alexandria,"['Internship', 'On-site']",Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) ,"Ameria, Alexandria, Egypt ",Entry Level · 0 - 1 Yrs of Exp · Manufacturing/Production · Production · Manufacturing · Engineering,https://wuzzuf.net/internship/d68zI0iRtwdQ-Production-II-Internship---Alexandria-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt
21,Microsoft System Administrator in New Administrative Capital,"['Full Time', 'On-site']",Techno Management ,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Microsoft SQL Server · Installation · Configuration · Troubleshooting,https://wuzzuf.net/jobs/p/2BVuTU5K6pUN-Microsoft-System-Administrator-in-New-Administrative-Capital-Techno-Management-Cairo-Egypt
22,GIS Technician,"['Full Time', 'On-site']",Citylogix ME ,"New Cairo, Cairo, Egypt ",Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Arc GIS · GIS · QGIS,https://wuzzuf.net/jobs/p/nFPnN5W9bxPc-GIS-Technician-Citylogix-ME-Cairo-Egypt
23,Remote Roads Inspection Engineer,"['Full Time', 'On-site']",Citylogix ME ,"New Cairo, Cairo, Egypt ",Entry Level · 0 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Other · Engineering Services · Roads · Transportation engineering · Engineering · QA · Highways,https://wuzzuf.net/jobs/p/zF9kzxya69v6-Remote-Roads-Inspection-Engineer-Citylogix-ME-Cairo-Egypt
24,Air Compressors Service Engineer,"['Full Time', 'On-site']",Confidential ,"Mohandessin, Giza, Egypt ",Entry Level · 0 - 1 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering - Other · Engineering · Electrical Engineering · air compressors,https://wuzzuf.net/jobs/p/UhOY0FwSvWN5-Air-Compressors-Service-Engineer-Giza-Egypt
25,Full-Stack Python Team Leader (Django/React),"['Full Time', 'On-site']",RDI ,"Riyadh, Saudi Arabia ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,https://wuzzuf.net/jobs/p/QYjtCS50gnXV-Full-Stack-Python-Team-Leader-DjangoReact-RDI-Riyadh-Saudi-Arabia
26,Data Scientist,"['Full Time', 'On-site']",Al Ateeq Software ,"Heliopolis, Cairo, Egypt ",Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Mining · Computer Science · Data Science · Information Technology (IT) · Python · SQL · Research,https://wuzzuf.net/jobs/p/2t99siCaRsIc-Data-Scientist-Al-Ateeq-Software-Cairo-Egypt
27,Mechanical Drawing Engineer - COTHERM TOR Egypt,"['Internship', 'On-site']",Groupe- Atlantic ,"10th of Ramadan City, Sharqia, Egypt ",Entry Level · Engineering - Mechanical/Electrical · AutoCAD · Engineering · Mechanical Engineering,https://wuzzuf.net/internship/YPxSQv9BwKN4-Mechanical-Drawing-Engineer---COTHERM-TOR-Egypt-Groupe--Atlantic-Sharqia-Egypt
28,Senior Full-Stack Python (Django/React) in KSA,"['Full Time', 'On-site']",RDI ,"Dokki, Giza, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,https://wuzzuf.net/jobs/p/o21S64HNCZ4B-Senior-Full-Stack-Python-DjangoReact-in-KSA-RDI-Giza-Egypt
29,Sales Representative,"['Full Time', 'Hybrid']",Softech ,"Riyadh, Saudi Arabia ",Experienced · 3 - 8 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Customer Service · Computer Science · Sales,https://wuzzuf.net/jobs/p/WwQGFTFowZ1V-Sales-Representative-Softech-Riyadh-Saudi-Arabia
30,Senior Backend Laravel Developer (Experienced),"['Full Time', 'Remote']",Road9 Media ,"Maadi, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Laravel · Information Technology (IT) · RESTful · PHP · Computer Science · Database · MySQL,https://wuzzuf.net/jobs/p/vxRiPCYHRuEo-Senior-Backend-Laravel-Developer-Experienced-Road9-Media-Cairo-Egypt
31,Electrical Maintenance Engineer,"['Full Time', 'On-site']",City Glass ,"10th of Ramadan City, Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Classic control · Control · Electrical Maintenance · Electrical Engineering · PLC,https://wuzzuf.net/jobs/p/oXcAQZAa20Rb-Electrical-Maintenance-Engineer-City-Glass-Cairo-Egypt
32,Senior Cost Accountant (Manufacturing Industry),"['Full Time', 'On-site']",Selah ElTelmeez For Publishing & printing ,"Obour City, Cairo, Egypt ",Experienced · 6 - 8 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication · Cost Accounting · ERP System · Finance · Financial Management · Cost · English,https://wuzzuf.net/jobs/p/I6pkAwk5iweg-Senior-Cost-Accountant-Manufacturing-Industry-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt
33,Product Manager - EPM/AI/ML,"['Full Time', 'Remote']",Azdan Business Analytics ,"Cairo, Egypt ",Manager · 5 - 7 Yrs of Exp · IT/Software Development · Oracle EPM · EPM · Hyperion · Oracle Hyperion,https://wuzzuf.net/jobs/p/2tyQPqVziD1b-Product-Manager---EPMAIML-Azdan-Business-Analytics-Cairo-Egypt
34,HR Specialist,"['Full Time', 'On-site']",CELESTE ,"Nasr City, Cairo, Egypt ",Entry Level · 0 - 1 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · HR Certificate · Communication skills · HR · Personnel · Recruitment · Social Insurance · Communication,https://wuzzuf.net/jobs/p/60dxbuSliHxz-HR-Specialist-CELESTE-Cairo-Egypt
35,Cnc sheet metal maintenance engineer,"['Full Time', 'On-site']",Promech Engineering ,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Engineering · Sheet Metal · Maintenance · Mechanical Engineering · Metal · CNC · Production,https://wuzzuf.net/jobs/p/ijaAMUoBvFLm-Cnc-sheet-metal-maintenance-engineer-Promech-Engineering-Cairo-Egypt
36,Javascript Engineer,"['Full Time', 'Remote']",Constructor ,"San Francisco, United States ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · engineer · Integrations · JavaScript · Computer Science · CSS · Design · Front end,https://wuzzuf.net/jobs/p/3nquHd7f178N-Javascript-Engineer-Constructor-San-Francisco-United-States
37,AI Engineer,"['Full Time', 'Hybrid']",The Osiris Labs  ,"Mokattam, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Account Management · Project Management · sales skills · Marketing · Management · Communication,https://wuzzuf.net/jobs/p/VuUGsRgdzCC6-AI-Engineer-The-Osiris-Labs-Cairo-Egypt
38,Data Management Lead,"['Full Time', 'Remote']",REI Call Center ,"Alexandria, Egypt ",Manager · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Management · Real Estate · Information Technology (IT) · Data · Automation · Visualization · Database SQL Server · Management,https://wuzzuf.net/jobs/p/8l0tQm7tFrTf-Data-Management-Lead-REI-Call-Center-Alexandria-Egypt
39,QA Validation and Qualification Officer,"['Full Time', 'On-site']",Confidential ,"Badr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Quality · Pharmaceutical · Pharmaceutical · Quality Assurance · Pharmacy · Science,https://wuzzuf.net/jobs/p/qExu65pPdVEC-QA-Validation-and-Qualification-Officer-Cairo-Egypt
40,Fabrication Engineer,"['Full Time', 'On-site']",Power House Egypt ,"6th of October, Giza, Egypt ",Experienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · AutoCAD · Construction · Engineering · Manufacturing · Production Engineering · Steel,https://wuzzuf.net/jobs/p/QEQGgRRI7oZy-Fabrication-Engineer-Power-House-Egypt-Giza-Egypt
41,Data Annotation Team Lead,"['Full Time', 'Hybrid']",Eg Insurtech ,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · data labeling · English · Skills · Software Engineering · #data · Artificial Intelligence,https://wuzzuf.net/jobs/p/A5qTdwlu96Gb-Data-Annotation-Team-Lead-Eg-Insurtech-Cairo-Egypt
42,Senior Full Stack Engineer,"['Full Time', 'Hybrid']",USYTech ,"Heliopolis, Cairo, Egypt ",Entry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Technology (IT) · Software Development · Web Development · JavaScript · React · Ruby,https://wuzzuf.net/jobs/p/lFH6e01rB6dl-Senior-Full-Stack-Engineer-USYTech-Cairo-Egypt
43,Junior Python Developer,"['Full Time', 'Hybrid']",RDI ,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · MySQL · JavaScript · React · Angular · RESTful · Django,https://wuzzuf.net/jobs/p/xJp7GQsxL0de-Junior-Python-Developer-RDI-Giza-Egypt
44,Shop Floor Manager,"['Full Time', 'On-site']",Confidential ,"Darrasa, Cairo, Egypt ",Manager · 2 - 3 Yrs of Exp · Operations/Management · Manufacturing/Production · Project/Program Management · Management · Quality Assurance · Factory Management · Project Management · Manufacturing,https://wuzzuf.net/jobs/p/SNN7Bj0myiS1-Shop-Floor-Manager-Cairo-Egypt
45,Coffee Specialist (Boutique) - East,['Full Time'],Nestlé Nespresso SA ,"Riyadh, Saudi Arabia ",Entry Level · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · marketing · advertising · social media · branding · sales · customer service · communication,https://wuzzuf.net/jobs/p/g/kZ4AhMA4orgR-Coffee-Specialist-Boutique---East-Nestlé-Nespresso-SA-Riyadh-Saudi-Arabia
46,Marketing Manager,['Full Time'],Nestlé Nespresso SA ,"Makkah, Saudi Arabia ",Experienced · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Marketing · Social Media · Sales · Market Research · E-marketing · Media · Digital Marketing,https://wuzzuf.net/jobs/p/g/NHMckAkbxdTb-Marketing-Manager-Nestlé-Nespresso-SA-Makkah-Saudi-Arabia
47,Customer Relations Center Team Leader,['Full Time'],Nestlé Nespresso SA ,"Makkah, Saudi Arabia ",Experienced · Customer Service/Support · Operations/Management · Sales/Retail · Customer Service · Customer Support · Customer Care · Call Center · Management · Operations · Microsoft Office,https://wuzzuf.net/jobs/p/g/wScaz2ZfCdyw-Customer-Relations-Center-Team-Leader-Nestlé-Nespresso-SA-Makkah-Saudi-Arabia
48,Web Developer (WordPress),['Full Time'],StriveNest ,"Kuwait City, Kuwait ",Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Web Development · Software Development · javaScript · Software Engineering · CSS,https://wuzzuf.net/jobs/p/g/Ft63xuLmbuIk-Web-Developer-WordPress-StriveNest-Kuwait-City-Kuwait
49,"Solution Consultant, Doha",['Full Time'],Denodo ,"Riyadh, Saudi Arabia ",Experienced · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · ERP · Engineering · Sales · Sales Skills · Accounting,https://wuzzuf.net/jobs/p/g/1utGkFK803sr-Solution-Consultant-Doha-Denodo-Riyadh-Saudi-Arabia
50,Solutions Architect UAE,['Full Time'],Bell Integration - Driving Digital Transformation ,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Software Engineering · Computer Engineering · Software Development · Solution Architecture,https://wuzzuf.net/jobs/p/g/duPkPY3j7Qis-Solutions-Architect-UAE-Bell-Integration---Driving-Digital-Transformation-Dubai-United-Arab-Emirates
51,Head Application,['Full Time'],Flow Talent ,"Dubai, United Arab Emirates ",Experienced · Human Resources · IT/Software Development · Engineering - Telecom/Technology · microsoft office · information technology (it) · human resources (hr) · computer science · management · software development · erp,https://wuzzuf.net/jobs/p/g/TxCUvlQ5KwwB-Head-Application-Flow-Talent-Dubai-United-Arab-Emirates
52,QNB3098-Senior Manager ATM Management (Qatarization),['Full Time'],QNB Group ,"Doha, Qatar ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · engineering · cisco · computer engineering · telecommunication · maintenance · atm · administration,https://wuzzuf.net/jobs/p/g/dWoag9znkGFK-QNB3098-Senior-Manager-ATM-Management-Qatarization-QNB-Group-Doha-Qatar
53,Senior Partnership Manager,['Full Time'],Velents ,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Project/Program Management · Sales/Retail · Sales · Sales Skills · Customer Service · Marketing · Project Management · Information Technology (IT) · Customer Support,https://wuzzuf.net/jobs/p/g/Je9L44ESE0mE-Senior-Partnership-Manager-Velents-Riyadh-Saudi-Arabia
54,QNB3078-Associate Personnel Administration (Qatarization),['Full Time'],QNB Group ,"Doha, Qatar ",Entry Level · Administration · Human Resources · Operations/Management · administration · microsoft office · human resources (hr) · office management · personnel · management · hr,https://wuzzuf.net/jobs/p/g/NA7rgoju3NrU-QNB3078-Associate-Personnel-Administration-Qatarization-QNB-Group-Doha-Qatar
55,QNB3137-Associate Customer Support Call Center (Qatarization),['Full Time'],QNB Group ,"Doha, Qatar ",Entry Level · Customer Service/Support · Sales/Retail · Tourism/Travel · customer service · customer support · customer care · call center · marketing · economics · administration,https://wuzzuf.net/jobs/p/g/WYGDMpQV7zAE-QNB3137-Associate-Customer-Support-Call-Center-Qatarization-QNB-Group-Doha-Qatar
56,QNB3106-Officer Cororate Customer Service (Qatarization),['Full Time'],QNB Group ,"Doha, Qatar ",Entry Level · Accounting/Finance · Banking · Sales/Retail · qnb · banking · banks · bank · qatari,https://wuzzuf.net/jobs/p/g/BxwXCh0Jif2d-QNB3106-Officer-Cororate-Customer-Service-Qatarization-QNB-Group-Doha-Qatar
57,Chief Technology Officer,['Full Time'],ASTUDIO ,"Dubai, United Arab Emirates ",Manager · Accounting/Finance · Operations/Management · C-Level Executive/GM/Director · Finance · Accounting · Financial Management · Financial Analysis · Management · MBA · Information Technology (IT),https://wuzzuf.net/jobs/p/g/o8lb36HN8PQr-Chief-Technology-Officer-ASTUDIO-Dubai-United-Arab-Emirates
